                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.3643,                 1.6786,                 1.7353,                0.48888,                0.56264,                0.54478,                0.36668,                 1.1637,                 1.4483,                 1.6506,               0.003367,               0.003367,               0.003367
                     69,                 1.3464,                 1.6191,                 1.6903,                  0.505,                 0.5309,                0.52344,                0.35054,                 1.1792,                 1.4827,                 1.6655,               0.003268,               0.003268,               0.003268
                     70,                 1.3798,                   1.66,                 1.7323,                0.47984,                0.55696,                0.51936,                0.34903,                 1.1482,                 1.4816,                 1.6354,               0.003169,               0.003169,               0.003169
                     71,                 1.3761,                 1.6702,                 1.7244,                0.48437,                0.57707,                0.53138,                0.35231,                  1.171,                 1.4634,                 1.6661,                0.00307,                0.00307,                0.00307
                     72,                 1.3732,                 1.6494,                 1.6995,                0.48683,                0.56511,                0.53206,                0.36419,                 1.1489,                 1.4349,                 1.6216,               0.002971,               0.002971,               0.002971
                     73,                 1.3562,                 1.6467,                 1.7106,                0.49218,                0.58749,                0.54656,                0.37639,                 1.1261,                 1.4129,                 1.6129,               0.002872,               0.002872,               0.002872
                     74,                 1.3646,                 1.6637,                 1.7352,                0.48206,                0.59345,                0.54111,                0.37086,                 1.1256,                 1.4323,                 1.6104,               0.002773,               0.002773,               0.002773
                     75,                 1.3439,                 1.6261,                 1.6983,                0.51667,                0.58105,                0.54873,                0.37762,                 1.1087,                 1.4048,                 1.6032,               0.002674,               0.002674,               0.002674
                     76,                 1.3255,                 1.5641,                 1.6615,                0.50971,                0.58377,                0.54041,                0.36818,                 1.1169,                 1.4417,                 1.6085,               0.002575,               0.002575,               0.002575
                     77,                 1.3503,                 1.6217,                 1.6823,                0.48482,                0.62249,                0.54898,                0.37883,                 1.1114,                  1.404,                 1.6058,               0.002476,               0.002476,               0.002476
                     78,                 1.3361,                 1.6173,                 1.7291,                0.49496,                0.60422,                0.55702,                0.38546,                 1.0987,                 1.3841,                 1.5878,               0.002377,               0.002377,               0.002377
                     79,                 1.3081,                  1.572,                 1.6775,                0.51447,                0.59047,                0.56162,                0.39072,                 1.0985,                 1.3834,                 1.5962,               0.002278,               0.002278,               0.002278
                     80,                 1.3319,                 1.5789,                 1.6858,                0.47519,                0.58898,                 0.5446,                0.37562,                 1.1061,                  1.409,                 1.5945,               0.002179,               0.002179,               0.002179
                     81,                 1.3009,                 1.5645,                 1.6812,                 0.4904,                0.60834,                0.56248,                 0.3933,                 1.0813,                 1.3696,                 1.5763,                0.00208,                0.00208,                0.00208
